country,Country Code,Indicator Name,Indicator Code,co2_emission
Nigeria,NGA,CO2 emissions (kt),EN.ATM.CO2E.KT,111978.1
Nicaragua,NIC,CO2 emissions (kt),EN.ATM.CO2E.KT,4582.2
Netherlands,NLD,CO2 emissions (kt),EN.ATM.CO2E.KT,130315.1
Norway,NOR,CO2 emissions (kt),EN.ATM.CO2E.KT,36177.4
Nepal,NPL,CO2 emissions (kt),EN.ATM.CO2E.KT,14949.2
Nauru,NRU,CO2 emissions (kt),EN.ATM.CO2E.KT,41.4
New Zealand,NZL,CO2 emissions (kt),EN.ATM.CO2E.KT,31359.7
OECD members,OED,CO2 emissions (kt),EN.ATM.CO2E.KT,10570775.72
Oman,OMN,CO2 emissions (kt),EN.ATM.CO2E.KT,71041.5
Other small states,OSS,CO2 emissions (kt),EN.ATM.CO2E.KT,181678.207
Pakistan,PAK,CO2 emissions (kt),EN.ATM.CO2E.KT,184111.2
Panama,PAN,CO2 emissions (kt),EN.ATM.CO2E.KT,9582.7
Peru,PER,CO2 emissions (kt),EN.ATM.CO2E.KT,46578.9
Philippines,PHL,CO2 emissions (kt),EN.ATM.CO2E.KT,133471.3
Palau,PLW,CO2 emissions (kt),EN.ATM.CO2E.KT,158.2
Papua New Guinea,PNG,CO2 emissions (kt),EN.ATM.CO2E.KT,5491.5
Poland,POL,CO2 emissions (kt),EN.ATM.CO2E.KT,279223.8
Pre-demographic dividend,PRE,CO2 emissions (kt),EN.ATM.CO2E.KT,469494.036
Puerto Rico,PRI,CO2 emissions (kt),EN.ATM.CO2E.KT,
Dem. Rep. Korea,PRK,CO2 emissions (kt),EN.ATM.CO2E.KT,52437.2
Portugal,PRT,CO2 emissions (kt),EN.ATM.CO2E.KT,38973.5
Paraguay,PRY,CO2 emissions (kt),EN.ATM.CO2E.KT,7575.7
West Bank and Gaza,PSE,CO2 emissions (kt),EN.ATM.CO2E.KT,
Pacific island small states,PSS,CO2 emissions (kt),EN.ATM.CO2E.KT,2178
Post-demographic dividend,PST,CO2 emissions (kt),EN.ATM.CO2E.KT,9555830.37
